placeid,name,norm,trainline,joinkey,latitude,longitude
3577,FALCONARA STADIO,FALCONARA STADIO,,FALCONARA STADIO,43.626178,13.381207
1292,FALCONE,FALCONE,,FALCONE,38.119575,15.080465
59,FALERNA,FALERNA,,FALERNA,38.968579,16.150055
5442,FANCIULLATA,FANCIULLATA,,FANCIULLATA,42.9884,12.3882
1293,FANNA-CAVASSO,FANNA CAVASSO,,FANNA CAVASSO,46.187169,12.770875
1294,FANO,FANO,,FANO,43.84307,13.024497
1295,FANZOLO,FANZOLO,,FANZOLO,45.708502,11.992517
1296,FARA,FARA,,FARA,45.550616,8.458004
1297,FARA SABINA-MONTELIBRETTI,FARA SABINA MONTELIBRETTI,,FARA SABINA MONTELIBRETTI,42.15557,12.648415
1299,FASANO,FASANO,,FASANO,40.85155,17.385785
60,FAVAZZINA,FAVAZZINA,,FAVAZZINA,38.258629,15.756202
1303,FELEGARA-S.ANDREA BAGNI,FELEGARA SAN ANDREA BAGNI,FELEGARA SANT ANDREA BAGNI,FELEGARA SANT ANDREA BAGNI,44.7248,10.1144
5024,FELETTO,FELETTO,,FELETTO,45.301812,7.742633
1304,FELIZZANO,FELIZZANO,,FELIZZANO,44.893351,8.437473
1306,FELTRE,FELTRE,,FELTRE,46.01285,11.911642
1307,FERENTINO-SUPINO,FERENTINO SUPINO,,FERENTINO SUPINO,41.655599,13.247564
61,PM FEROLETO ANTICO PIANOPOLI,PM FEROLETO ANTICO PIANOPOLI,FEROLETO ANTICO PIANOPOLI,FEROLETO ANTICO PIANOPOLI,38.938056,16.365833
1308,FERRANDINA SCALO-MATERA,FERRANDINA SCALO MATERA,,FERRANDINA SCALO MATERA,40.51618,16.47569
237,FERRANIA,FERRANIA,,FERRANIA,44.365658,8.3258
1309,FERRARA,FERRARA,,FERRARA,44.84312,11.603833
1311,FERRERA LOMELLINA,FERRERA LOMELLINA,,FERRERA LOMELLINA,45.1119,8.86285
62,FERRUZZANO,FERRUZZANO,,FERRUZZANO,38.016361,16.134315
644,FICARAZZI,FICARAZZI,,FICARAZZI,38.086558,13.463252
1317,FIDENZA,FIDENZA,,FIDENZA,44.867759,10.06345
3415,FIESOLE CALDINE,FIESOLE CALDINE,,FIESOLE CALDINE,43.830404,11.307944
1319,FIGLINE VALDARNO,FIGLINE VALDARNO,,FIGLINE VALDARNO,43.621818,11.473561
1320,FILATTIERA,FILATTIERA,,FILATTIERA,44.331481,9.933538
1322,FILIANO,FILIANO,,FILIANO,40.837194,15.752319
238,FINALE LIGURE MARINA,FINALE LIGURE MARINA,,FINALE LIGURE MARINA,44.169243,8.340407
1324,FIORENZUOLA,FIORENZUOLA,,FIORENZUOLA,44.929021,9.916827
1312,FIRENZE CAMPO MARTE,FIRENZE CAMPO MARTE,FIRENZE CAMPO DI MARTE,FIRENZE CAMPO DI MARTE,43.777574,11.27659
1314,FIRENZE CASTELLO,FIRENZE CASTELLO,,FIRENZE CASTELLO,43.8195,11.218313
1315,FIRENZE RIFREDI,FIRENZE RIFREDI,,FIRENZE RIFREDI,43.800137,11.236408
3369,FIRENZE ROVEZZANO,FIRENZE ROVEZZANO,,FIRENZE ROVEZZANO,43.768855,11.308699
3412,S.MARCO VECCHIO,SAN MARCO VECCHIO,FIRENZE SAN MARCO VECCHIO,FIRENZE SAN MARCO VECCHIO,43.791,11.2677
