"country","name","url","lon","lat","h3","population"
"GB","Aldermaston","https://www.realtimetrains.co.uk/search/simple/gb-nr:AMT",-1.136972,51.402047,612935771824848895,773
"GB","Aldershot","https://www.realtimetrains.co.uk/search/simple/gb-nr:AHT",-0.760657,51.246151,612935756901515263,5273
"GB","Aldrington","https://www.realtimetrains.co.uk/search/simple/gb-nr:AGT",-0.182151,50.836601,612934469822709759,2828
"FR","Alençon","https://www.garesetconnexions.sncf/fr/gares-services/alencon/horaires#main-content",0.098531,48.433884,612918464092307455,1537
"IT","Alessandria","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=193&arrivals=False",8.606847,44.908606,613045599660408831,2537
"FR","Alet-les-Bains","https://www.garesetconnexions.sncf/fr/gares-services/alet-bains/horaires#main-content",\N,\N,\N,0
"GB","Alexandra Palace","https://www.realtimetrains.co.uk/search/simple/gb-nr:AAP",-0.120129,51.598225,612935789470285823,3902
"GB","Alexandra Parade","https://www.realtimetrains.co.uk/search/simple/gb-nr:AXP",-4.211465,55.863724,612930019404021759,5794
"GB","Alexandria","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALX",-4.577534,55.98513,612930017822769151,1804
"IT","Alfedena-Scontrone","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=411&arrivals=False",14.044683,41.738524,613026199718854655,182
"IT","Alfonsine","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=412&arrivals=False",12.039954,44.511714,613028340562919423,1469
"GB","Alfreton","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALF",-1.369689,53.100414,612933901549043711,1055
"IT","Ali' Terme","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=413&arrivals=False",15.423583,38.005151,613600492857065471,1433
"IT","Alice Belcolle","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=414&arrivals=False",8.43999,44.722619,613045615848325119,108
"FR","Allassac","https://www.garesetconnexions.sncf/fr/gares-services/allassac/horaires#main-content",1.4731471,45.2589385,612918991127576575,393
"FR","Allenc","https://www.garesetconnexions.sncf/fr/gares-services/allenc/horaires#main-content",3.6638926,44.541296,613044970695163903,28
"GB","Allens West","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALW",-1.363418,54.524128,612934183418855423,2309
"IT","Allerona-Castel Viscardo","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=415&arrivals=False",12.035836,42.784761,613026388061978623,867
"FR","Alleyras","https://www.garesetconnexions.sncf/fr/gares-services/alleyras/horaires#main-content",3.673517,44.919217,613044945978130431,74
"GB","Alloa","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALO",-3.7872,56.1179,612937209074417663,2155
"FR","Allée Royale","https://www.garesetconnexions.sncf/fr/gares-services/allee-royale/horaires#main-content",2.07827,48.81431,613047303218921471,605
"FR","Allée de la Tour Rendez-Vous","https://www.garesetconnexions.sncf/fr/gares-services/allee-la-tour-rendez-vous/horaires#main-content",2.506475,48.897109,613047287744036863,4752
"GB","Alness","https://www.realtimetrains.co.uk/search/simple/gb-nr:ASS",-4.249743,57.694477,612932335601451007,414
"GB","Alnmouth","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALM",-1.6368580000000001,55.392456,612937262709080063,46
